"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry2","marketcapname","Add Column"
1760,"Aegis Vopak Terminals Ltd","AEGISVOPAK","287.5","-0.55%","6,73,754","transportation","miscellaneous","largecap",""
1761,"Crompton Greaves Consumer Electricals Limited","CROMPTON","218.6","-0.55%","13,74,776","consumer discretionary","electric equipment","midcap",""
1762,"Puravankara Projects Limited","PURVA","213.87","-0.55%","78,727","realty","construction","midcap",""
1763,"Texmaco Infrastructure & Holdings Limited","TEXINFRA","118.25","-0.55%","1,38,397","realty","construction","smallcap",""
1764,"Credo Brands Marketing Ltd","MUFTI","72.14","-0.55%","31,152","consumer discretionary","trading","smallcap",""
1765,"Groww Nifty 200 ETF","GROWWN200","10.91","-0.55%","42,885","indices","indices","smallcap",""
1766,"Jyoti Structures Limited","JYOTISTRUC","9.03","-0.55%","64,79,450","industrials","transmisson line towers / equipment","smallcap",""
1767,"Cummins India Limited","CUMMINSIND","4,945","-0.56%","3,37,303","industrials","engines","largecap",""
1768,"Asahi India Glass Limited","ASAHIINDIA","959.95","-0.56%","75,822","building materials","glass & glass products","largecap",""
1769,"The Ruby Mills Limited","RUBYMILLS","491.85","-0.56%","13,428","textiles","textiles - composite","smallcap",""
1770,"PDS Ltd","PDSL","357.65","-0.56%","61,436","textiles","trading","midcap",""
1771,"Banswara Syntex Limited","BANSWRAS","108.73","-0.56%","16,084","textiles","textiles - spinning - synthetic / blended","smallcap",""
1772,"Damodar Industries Limited","DAMODARIND","28.45","-0.56%","3,496","textiles","textiles - spinning - synthetic / blended","smallcap",""
1773,"Urja Global Ltd","URJA","8.95","-0.56%","5,03,556","auto","automobiles - motorcycles / mopeds","smallcap",""
1774,"Lg Balakrishnan & Bros Limited","LGBBROSLTD","1,735.3","-0.57%","16,354","auto","bearings","midcap",""
1775,"Sharda Motor Industries Limited","SHARDAMOTR","956.35","-0.57%","45,449","auto","auto ancillaries","midcap",""
1776,"Apcotex Industries Limited","APCOTEXIND","599.4","-0.57%","86,241","chemicals","miscellaneous","smallcap",""
1777,"Jeena Sikho Lifecare Ltd","JSLL","508.25","-0.57%","1,62,157","healthcare","trading","midcap",""
1778,"Panacea Biotec Limited","PANACEABIO","372.6","-0.57%","74,313","healthcare","pharmaceuticals - indian - bulk drugs & formln","smallcap",""
1779,"Ramco Industries Limited","RAMCOIND","319.95","-0.57%","65,040","building materials","cement products","smallcap",""
1780,"Amines & Plasticizers Ltd","AMNPLST","163.15","-0.57%","1,067","chemicals","chemicals","smallcap",""
1781,"Nath Bio-genes (india) Limited","NATHBIOGEN","149.35","-0.57%","9,940","fmcg","miscellaneous","smallcap",""
1782,"Motilal Oswal Nifty India Tourism ETF","MOTOUR","76.7","-0.57%","7,082","indices","indices","smallcap",""
1783,"Paramount Communications Limited","PARACABLES","59.81","-0.57%","18,52,499","industrials","cables - power","smallcap",""
1784,"HDFC Nifty Midcap 150 ETF","HDFCMID150","22.7","-0.57%","6,99,608","indices","indices","smallcap",""
1785,"Vakrangee Limited","VAKRANGEE","5.27","-0.57%","12,96,324","i.t","computers - software - medium / small","smallcap",""
1786,"Bharti Airtel Limited","BHARTIARTL","1,785.4","-0.58%","47,66,200","telecom-service","telecommunications - service provider","largecap",""
1787,"Icici Bank Limited","ICICIBANK","1,326.8","-0.58%","1,08,41,310","bank","banks - private sector","largecap",""
